X,Y,GBR_NAME,FEAT_NAME,LEVEL_1,QLD_NAME,GBR_ID,LOC_NAME_L,longitude,latitude,SHAPE_AREA,UNIQUE_ID
143.838223448289,-11.8701504103024,Five Reefs,Reef,Reef,Five Reefs,11232,Five Reefs (11-232),143.838223448288772,-11.870150410302438,3.806461569405724,11232100104
143.590172238658,-11.8569246036066,U/N Reef,Reef,Reef,U/N Reef,11233,U/N Reef (11-233),143.590172238658113,-11.856924603606631,17.792189192941315,11233100104
143.904599533615,-11.9935658261624,U/N Reef,Reef,Reef,U/N Reef,11242,U/N Reef (11-242),143.904599533614800,-11.993565826162374,0.112077873268105,11242100104
143.869503207928,-11.7911468390247,U/N Reef,Reef,Reef,U/N Reef,11225,U/N Reef (11-225),143.869503207927750,-11.791146839024668,0.658277901978729,11225100104
143.969102095426,-11.8019788622734,Wood Reef,Reef,Reef,Wood Reef,11228,Wood Reef (11-228),143.969102095425995,-11.801978862273378,8.728857539320682,11228100104
143.18287927107,-12.3053908556928,Lion Reef,Reef,Reef,Lion Reef,12017,Lion Reef (12-017),143.182879271069964,-12.305390855692790,0.166984075942090,12017100104
143.801383167692,-11.4184622473687,U/N Reef,Reef,Reef,,11269,U/N Reef (11-269),143.801383167692450,-11.418462247368732,0.065283998586571,11269100104
143.805094571944,-11.3738452144371,U/N Reef,Reef,Reef,,11270,U/N Reef (11-270),143.805094571944210,-11.373845214437045,0.458245001758880,11270100104
143.810241856604,-11.1915542856267,U/N Reef,Reef,Reef,,11271,U/N Reef (11-271),143.810241856604506,-11.191554285626674,1.149682210775998,11271100104
143.8257527002,-11.8453260666682,U/N Reef,Reef,Reef,,11272,U/N Reef (11-272),143.825752700200013,-11.845326066668246,0.033000154763970,11272100104
143.834781024884,-11.9172705023878,U/N Reef,Reef,Reef,,11273,U/N Reef (11-273),143.834781024883853,-11.917270502387799,0.011213347773506,11273100104
143.782188301976,-11.8105515991624,U/N Reef,Reef,Reef,,11267,U/N Reef (11-267),143.782188301976305,-11.810551599162430,0.086960804103186,11267100104
143.855029323531,-11.2878940433355,U/N Reef,Reef,Reef,,11275,U/N Reef (11-275),143.855029323530857,-11.287894043335447,3.840071380028167,11275100104
143.876247599342,-11.1817182800662,U/N Reef,Reef,Reef,,11277,U/N Reef (11-277),143.876247599341610,-11.181718280066161,1.221567341153232,11277100104
143.884777598091,-11.7055372864877,U/N Reef,Reef,Reef,,11278,U/N Reef (11-278),143.884777598090722,-11.705537286487683,0.017360518971118,11278100104
143.242126185657,-12.3550760670221,Andrew Reef,Reef,Reef,Andrew Reef,12021,Andrew Reef (12-021),143.242126185656900,-12.355076067022090,0.461897913493214,12021100104
143.481770877897,-12.384887121,U/N Reef,Reef,Reef,U/N Reef,12024,U/N Reef (12-024),143.481770877896906,-12.384887120999956,6.520658502013595,12024100104
143.835576611266,-12.832738183657,Bligh Reef,Reef,Reef,Bligh Reef,12118,Bligh Reef (12-118),143.835576611265651,-12.832738183657039,16.849660346415003,12118100104
143.744677744821,-12.8393839180723,U/N Reef,Reef,Reef,U/N Reef,12121,U/N Reef (12-121),143.744677744820819,-12.839383918072327,64.157588658546288,12121100104
143.463340570983,-12.6226567571901,Restoration Rock,Rock,Reef,Restoration Rock,12079,Restoration Rock (12-079),143.463340570983462,-12.622656757190075,0.237888653819365,12079100106
143.418061715598,-12.6487521167691,U/N Reef,Reef,Reef,U/N Reef,12080,U/N Reef (12-080),143.418061715598469,-12.648752116769133,2.898235785870272,12080100104
143.449911846578,-12.6584120169569,Edward Shoal,Reef,Reef,Edward Shoal,12081,Edward Shoal (12-081),143.449911846577521,-12.658412016956907,0.278113344383666,12081100104
146.678803696588,-18.7647193253325,Great Palm Island Reef (No 3),Reef,Reef,U/N Reef,18054C,Great Palm Island Reef (No 3) (18-054c),146.678803696588147,-18.764719325332521,1.623525600438201,18054103104
145.683857779083,-16.7257050104689,Double Island,Island,Island,Double Island,16047A,Double Island (16-047a),145.683857779082985,-16.725705010468882,0.296780258229521,16047101102
147.498943334297,-18.561341250768,Yankee Reef,Reef,Reef,U/N Reef,18074,Yankee Reef (18-074),147.498943334296655,-18.561341250767974,6.668567080935607,18074100104
146.129570127099,-16.5271136956594,Hope Reef,Reef,Reef,Hope Reef,16058,Hope Reef (16-058),146.129570127099328,-16.527113695659349,1.536391103681031,16058100104
146.001402101421,-16.5676089916466,U/N Reef,Reef,Reef,U/N Reef,16059,U/N Reef (16-059),146.001402101420723,-16.567608991646619,0.357584370750383,16059100104
143.856042890137,-11.8258356853466,Devlin Reef,Reef,Reef,Devlin Reef,11229A,Devlin Reef (11-229a),143.856042890137360,-11.825835685346606,7.277835322379421,11229101104
143.629360282104,-11.8852170785586,Ashmore Banks (No 1),Reef,Reef,Ashmore Banks,11237A,Ashmore Banks (No 1) (11-237a),143.629360282103818,-11.885217078558611,52.898813703892415,11237101104
143.709827750815,-11.8800361209606,Ashmore Banks (No 2),Reef,Reef,Ashmore Banks,11237B,Ashmore Banks (No 2) (11-237b),143.709827750815236,-11.880036120960577,53.057532530621280,11237102104
143.691017222673,-11.9247305644964,U/N Cay,Cay,Island,U/N Cay,11237C,U/N Cay (11-237c),143.691017222672997,-11.924730564496420,0.021786150812379,11237103103
143.216021045529,-11.9435206848724,Bremner Shoal,Reef,Reef,Bremner Shoal,11182,Bremner Shoal (11-182),143.216021045528663,-11.943520684872354,0.192286960224417,11182100104
143.129098122765,-11.9063136425713,U/N Reef,Reef,Reef,U/N Reef,11177,U/N Reef (11-177),143.129098122764702,-11.906313642571293,0.820519689828513,11177100104
143.242006278493,-11.9424637508646,Outer Reef,Reef,Reef,Outer Reef,11183,Outer Reef (11-183),143.242006278493392,-11.942463750864587,0.088567043197817,11183100104
143.46876200168,-11.9025738347743,Sir Charles Hardy Islands (No 1),Island,Island,Sir Charles Hardy Islands,11184A,Sir Charles Hardy Islands (No 1) (11-184a),143.468762001679835,-11.902573834774335,0.578352384352433,11184101102
143.417171176998,-11.9481317071916,Wreck Reef,Reef,Reef,Wreck Reef,11184B,Wreck Reef (11-184b),143.417171176998522,-11.948131707191608,1.204457223194352,11184102104
143.3678900519,-12.4004251295835,U/N Cay,Cay,Island,U/N Cay,12027A,U/N Cay (12-027a),143.367890051900105,-12.400425129583509,0.007943578307284,12027101103
