name,latitude,longitude
Myrmidon Reef</br>Type: WEATHER-STATION</br><a href='60b0d8f0-4ade-11dc-8f56-00008a07204e' target='blank'> Metadata Record </a>,-18.2741662690242,147.381680978794
One Tree Island</br>Type: WEATHER-STATION</br><a href='ee22a601-97cf-4b91-ac85-36c0198f912c' target='blank'> Metadata Record </a>,-23.4986355659582,152.063306114116
Halftide Rocks AWS/Square Rocks</br>Type: WEATHER-STATION</br><a href='1b1c2a50-4f9e-11dc-9c63-00008a07204e' target='blank'> Metadata Record </a>,-23.1059641882401,150.892567307022
Yongala</br>Type: WEATHER-STATION</br><a href='88ef50ff-262e-49b5-90a1-70c3a570045d' target='blank'> Metadata Record </a>,-19.3037166595459,147.620452880859
NRSYON</br>Type: MOORING</br><a href='https://data.aims.gov.au/moorings/IMOS-NRS/YongalaNRS.html' target='blank'> Metadata Record </a>,-19.3069,147.6197833333
GBRHIS</br>Type: MOORING</br><a href='https://data.aims.gov.au/moorings/IMOS-SouthernGBR/HeronSouth.html' target='blank'> Metadata Record </a>,-23.5152833333,151.9541833333
GBROTE</br>Type: MOORING</br><a href='https://data.aims.gov.au/moorings/IMOS-SouthernGBR/OneTreeEast.html' target='blank'> Metadata Record </a>,-23.4849166667,152.1701833333
GBRPPS</br>Type: MOORING</br><a href='https://data.aims.gov.au/moorings/IMOS-CentralandNorthernGBR/PalmPassage.html' target='blank'> Metadata Record </a>,-18.3127666667,147.1512166667
GBRMYR</br>Type: MOORING</br><a href='https://data.aims.gov.au/moorings/IMOS-CentralandNorthernGBR/MyrmidonReef.html' target='blank'> Metadata Record </a>,-18.2208333333,147.34355
GBRCCH</br>Type: MOORING</br><a href='https://data.aims.gov.au/moorings/IMOS-SouthernGBR/CapricornChannel.html' target='blank'> Metadata Record </a>,-22.4091166667,151.9908333333
Brisbane</br>Type: WAVEBUOY</br><a href='https://www.qld.gov.au/environment/coasts-waterways/beach/monitoring/waves-sites/brisbane' target='blank'> Metadata Record </a>,-27.4945833333333,153.633083333333
Bundaberg</br>Type: WAVEBUOY</br><a href='https://www.qld.gov.au/environment/coasts-waterways/beach/monitoring/waves-sites/bundaberg' target='blank'> Metadata Record </a>,-24.6724833333333,152.4994
Cairns</br>Type: WAVEBUOY</br><a href='https://www.qld.gov.au/environment/coasts-waterways/beach/monitoring/waves-sites/cairns' target='blank'> Metadata Record </a>,-16.7336,145.710366666667
Caloundra</br>Type: WAVEBUOY</br><a href='https://www.qld.gov.au/environment/coasts-waterways/beach/monitoring/waves-sites/caloundra' target='blank'> Metadata Record </a>,-26.8467,153.155
Emu Park</br>Type: WAVEBUOY</br><a href='https://www.qld.gov.au/environment/coasts-waterways/beach/monitoring/waves-sites/emu-park' target='blank'> Metadata Record </a>,-23.3038,151.071666666667
Gladstone</br>Type: WAVEBUOY</br><a href='https://www.qld.gov.au/environment/coasts-waterways/beach/monitoring/waves-sites/gladstone' target='blank'> Metadata Record </a>,-23.8957666666667,151.503283333333
Gold Coast</br>Type: WAVEBUOY</br><a href='https://www.qld.gov.au/environment/coasts-waterways/beach/monitoring/waves-sites/gold-coast' target='blank'> Metadata Record </a>,-27.9646,153.441666666667
Hay Point</br>Type: WAVEBUOY</br><a href='https://www.qld.gov.au/environment/coasts-waterways/beach/monitoring/waves-sites/hay-point' target='blank'> Metadata Record </a>,-21.2722,149.3116
Mackay</br>Type: WAVEBUOY</br><a href='https://www.qld.gov.au/environment/coasts-waterways/beach/monitoring/waves-sites/mackay' target='blank'> Metadata Record </a>,-21.0373333333333,149.5467
Mooloolaba</br>Type: WAVEBUOY</br><a href='https://www.qld.gov.au/environment/coasts-waterways/beach/monitoring/waves-sites/mooloolaba' target='blank'> Metadata Record </a>,-26.5656666666667,153.18215
North Moreton</br>Type: WAVEBUOY</br><a href='https://www.qld.gov.au/environment/coasts-waterways/beach/monitoring/waves-sites/north-moreton-bay' target='blank'> Metadata Record </a>,-26.8985,153.2788
Townsville</br>Type: WAVEBUOY</br><a href='https://www.qld.gov.au/environment/coasts-waterways/beach/monitoring/waves-sites/townsville' target='blank'> Metadata Record </a>,-19.159,147.058733333333
Tweed Heads</br>Type: WAVEBUOY</br><a href='https://www.qld.gov.au/environment/coasts-waterways/beach/monitoring/waves-sites/tweed-heads' target='blank'> Metadata Record </a>,-28.17625,153.5765
